id,initial_invt,monthly_invt,x_1,x_2,x_3,x_4,x_5,x_6,x_7,w_1,w_2,w_3,w_4,w_5,w_6,w_7,PC Date
14,19900,1810,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:VOT,,,,0.503493054,0.229273113,0.134659965,0.132573869,,,,1/6/2009
15,17400,3930,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:VAW,NYSEARCA:PYZ,,,0.458787093,0.27658487,0.008632761,0.087616001,0.168379275,,,31/8/2008
16,19800,980,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGM,,,0.502084755,0.232528831,0.069080595,0.052743807,0.143562011,,,30/4/2009
17,8600,1060,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:FVL,NYSEARCA:EVX,NYSEARCA:IGM,,,0.581814198,0.274954121,0.043687677,0.014461688,0.085082317,,,18/11/2008
18,13500,2100,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGM,,,0.283896074,0.495599267,0.056591807,0.027681297,0.136231555,,,16/1/2009
19,6800,1880,NYSEARCA:IEZ,NYSEARCA:IHI,NYSEARCA:XME,NYSEARCA:IHF,,,,0.606112455,0.049491602,0.068657282,0.275738662,,,,16/10/2008
20,13000,750,NYSEARCA:PXE,NYSEARCA:XLE,NYSEARCA:IHF,,,,,0.785148762,0.127020323,0.087830915,,,,,18/8/2008
21,4200,130,NYSEARCA:IEO,NYSEARCA:EWC,NYSEARCA:JKH,NYSEARCA:IGM,,,,0.694387036,0.178944477,0.074094768,0.052573719,,,,24/2/2008
22,4700,1270,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:EWC,NYSEARCA:EVX,,,,0.281444631,0.423101784,0.249280467,0.046173118,,,,25/11/2008
23,4400,1160,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:XME,NYSEARCA:IHF,,,,0.586884129,0.167614854,0.084968332,0.160532685,,,,22/9/2008
24,7400,330,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:IGV,,,0.298960611,0.354123757,0.100841116,0.053019587,0.193054928,,,13/2/2009
25,900,260,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:FVL,NYSEARCA:IGV,,,0.414602147,0.40168056,0.003745728,0.008663507,0.171308058,,,6/4/2009
26,11200,2780,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:PXE,NYSEARCA:IYM,NYSEARCA:JKH,,,0.450776779,0.167335766,0.168758703,0.00274992,0.210378832,,,6/2/2008
27,8900,2490,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:IGV,,,0.446528239,0.117492416,0.250053506,0.031172462,0.154753377,,,14/1/2008
28,10500,3060,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:FVL,NYSEARCA:IGV,,,0.443221609,0.199339362,0.169550905,0.026631377,0.161256747,,,4/6/2008
29,7000,260,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:IGV,,,,0.496144162,0.254887082,0.065157555,0.183811201,,,,10/7/2008
30,11400,3110,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:EWC,NYSEARCA:IGM,,,0.460663901,0.189614636,0.041622211,0.149452602,0.15864665,,,4/11/2008
31,19600,5210,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:EWC,NYSEARCA:EVX,,,0.473657455,0.282025185,0.002673981,0.162653396,0.078989983,,,31/12/2008
32,3300,220,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:EWC,NYSEARCA:JKH,,,0.514259415,0.174292488,0.041783738,0.217717731,0.051946628,,,12/5/2008
33,2600,730,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:EVX,,,,0.699032165,0.03049052,0.07127073,0.199206585,,,,7/8/2008
34,17000,1790,NYSEARCA:RYE,NYSEARCA:XES,NYSEARCA:VAW,,,,,0.669576627,0.068541334,0.261882039,,,,,18/4/2009
35,6800,800,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:PPA,,,,,0.329588357,0.380354879,0.290056763,,,,,18/6/2009
36,8500,1770,NYSEARCA:XES,NYSEARCA:XLE,NYSEARCA:PXI,NYSEARCA:XME,NYSEARCA:EWC,NYSEARCA:PPA,,0.506228773,0.010903325,0.009521725,0.100431615,0.216948301,0.155966261,,23/1/2009
37,15300,4390,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:FVL,NYSEARCA:IGV,,,0.571879781,0.206303182,0.079990934,0.031306936,0.110519166,,,9/6/2008
38,1600,120,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:ITA,NYSEARCA:IHI,,,,0.359189376,0.266692737,0.316735782,0.057382105,,,,20/1/2008
39,16400,560,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:XLE,NYSEARCA:XME,NYSEARCA:JKH,,,0.357555974,0.222611136,0.086824651,0.063413052,0.269595187,,,30/11/2008
40,4400,1050,NYSEARCA:XOP,NYSEARCA:PXE,NYSEARCA:IYM,NYSEARCA:EVX,,,,0.470244561,0.288793155,0.184837194,0.05612509,,,,13/4/2009
41,13100,3070,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:IHI,,,,,0.410347583,0.313076957,0.27657546,,,,,7/11/2008
42,13300,900,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:EVX,,,,0.617044324,0.205380553,0.06455019,0.113024933,,,,8/8/2008
43,11300,1000,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:JKH,NYSEARCA:EVX,,,0.714771463,0.025460108,0.043649276,0.12177849,0.094340663,,,27/3/2009
44,10400,2480,NYSEARCA:IEZ,NYSEARCA:PXI,NYSEARCA:XME,NYSEARCA:JKH,NYSEARCA:IGM,,,0.572826453,0.099153811,0.041599666,0.124692031,0.161728039,,,15/2/2008
45,16200,1760,NYSEARCA:IYE,NYSEARCA:PXI,NYSEARCA:IYM,NYSEARCA:FVL,NYSEARCA:IGV,,,0.803269409,0.041042612,0.140860337,0.005684868,0.009142774,,,29/4/2009
46,4100,870,NYSEARCA:IEZ,NYSEARCA:VDE,NYSEARCA:EWC,NYSEARCA:EVX,NYSEARCA:IGM,,,0.432961925,0.153128732,0.314597744,0.093113973,0.006197626,,,18/2/2008
47,1700,440,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:EWC,,,0.560388717,0.05979912,0.014302831,0.016002109,0.349507223,,,22/3/2008
48,14600,3390,NYSEARCA:RYE,NYSEARCA:XME,NYSEARCA:EWC,NYSEARCA:FVL,NYSEARCA:EVX,,,0.68364777,0.023142507,0.228095746,0.038317693,0.026796285,,,19/1/2009
49,6900,1590,NYSEARCA:IEO,NYSEARCA:IYE,NYSEARCA:VOT,,,,,0.725231743,0.070674833,0.204093424,,,,,13/2/2009
50,17200,1350,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:EVX,NYSEARCA:IGV,,,,0.515184536,0.240100291,0.030229329,0.214485844,,,,13/11/2008
51,4200,1080,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:VOT,NYSEARCA:EVX,,,0.539886848,0.186451323,0.03127099,0.001133651,0.241257187,,,20/12/2008
52,10600,2670,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:RYH,,,,0.521248435,0.013318961,0.349790002,0.115642602,,,,31/3/2009
53,9600,1240,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:XME,,,,0.468147723,0.091524931,0.436858425,0.00346892,,,,12/5/2008
54,8300,870,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:XLE,NYSEARCA:EWC,NYSEARCA:VOT,,,0.283991452,0.232868965,0.026503413,0.442686818,0.013949352,,,6/8/2008
55,10000,1050,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXI,NYSEARCA:IYM,,,,0.493247627,0.140942762,0.140509134,0.225300478,,,,19/8/2008
56,12500,2080,NYSEARCA:IEZ,NYSEARCA:PXI,NYSEARCA:IYM,NYSEARCA:FVL,NYSEARCA:EVX,,,0.53929246,0.095129253,0.12487008,0.107727043,0.132981164,,,8/3/2009
57,18900,5550,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PYZ,,,,0.416619104,0.161174545,0.127814107,0.294392244,,,,18/1/2009
58,18300,2480,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:XBI,NYSEARCA:XES,,,,0.438685685,0.049282354,0.350449092,0.161582868,,,,11/9/2008
59,8600,1700,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:XME,NYSEARCA:JKH,,,,0.420180786,0.297387172,0.126779647,0.155652395,,,,25/3/2008
60,8300,1380,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:EWC,NYSEARCA:IGV,,,,0.451581396,0.268956301,0.244804906,0.034657396,,,,18/7/2008
61,6600,1020,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:EWC,NYSEARCA:JKH,,,0.450236163,0.269619859,0.020651449,0.172553832,0.086938697,,,15/2/2009
62,18500,2340,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:VOT,,,,0.649029152,0.064273219,0.07355341,0.213144219,,,,24/4/2008
63,14000,1600,NYSEARCA:IEZ,NYSEARCA:IYE,NYSEARCA:VDE,NYSEARCA:VAW,,,,0.189326719,0.307555877,0.284641528,0.218475875,,,,2/10/2008
64,13700,1950,NYSEARCA:IEO,NYSEARCA:XES,NYSEARCA:EVX,NYSEARCA:IGM,,,,0.702450691,0.087842492,0.079296152,0.130410665,,,,7/3/2009
65,7800,420,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:RYH,,,,0.441472872,0.319948254,0.105191565,0.13338731,,,,14/6/2008
66,5700,1160,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:IYM,NYSEARCA:IGV,,,0.264820692,0.458790015,0.06637148,0.084857849,0.125159964,,,17/12/2008
67,4100,220,NYSEARCA:XOP,NYSEARCA:XLE,NYSEARCA:PXI,NYSEARCA:EVX,,,,0.669884912,0.075831785,0.155713533,0.09856977,,,,8/4/2008
68,1600,430,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:VOT,,,,0.402420631,0.250233561,0.085407483,0.261938324,,,,25/7/2008
69,13600,290,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:PYZ,NYSEARCA:VOT,,,,0.477371131,0.455110902,0.013978114,0.053539853,,,,24/6/2008
70,13300,1060,NYSEARCA:IEZ,NYSEARCA:IYE,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.202090803,0.540562743,0.133602065,0.123744389,,,,29/4/2008
71,18300,2780,NYSEARCA:XOP,NYSEARCA:XES,NYSEARCA:PXI,,,,,0.436597117,0.041846507,0.521556376,,,,,5/2/2008
72,9200,1820,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.646995635,0.153313728,0.024830744,0.174859892,,,,28/4/2009
73,8500,1310,NYSEARCA:VDE,NYSEARCA:XME,NYSEARCA:FVL,NYSEARCA:IGV,,,,0.840845433,0.093573962,0.012892199,0.052688406,,,,6/12/2008
74,19200,4370,NYSEARCA:IEO,NYSEARCA:PXJ,NYSEARCA:FVL,NYSEARCA:EVX,NYSEARCA:IGM,,,0.652982242,0.12532983,0.032264867,0.071491189,0.117931872,,,29/8/2008
75,2600,380,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:EVX,NYSEARCA:IGV,,,0.524062692,0.215081656,0.025196875,0.024322994,0.211335783,,,15/6/2008
76,19700,1360,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:EWC,NYSEARCA:EVX,,,,0.485347877,0.177305502,0.190933471,0.146413149,,,,27/3/2009
77,15400,2600,NYSEARCA:XOP,NYSEARCA:IHI,NYSEARCA:EWC,,,,,0.834706883,0.150176663,0.015116455,,,,,20/6/2008
78,5400,730,NYSEARCA:PXE,NYSEARCA:PXI,NYSEARCA:PYZ,NYSEARCA:VOT,,,,0.820711609,0.08612985,0.063141222,0.030017319,,,,12/12/2008
79,700,190,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:XLB,,,,0.233689577,0.129138863,0.610749155,0.026422405,,,,22/2/2009
80,17700,1480,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:PXI,NYSEARCA:EWC,,,,0.461175783,0.085054635,0.017422089,0.436347493,,,,10/3/2009
81,13600,2330,NYSEARCA:XME,NYSEARCA:JKH,NYSEARCA:IGV,,,,,0.68912253,0.280565056,0.030312414,,,,,27/1/2008
82,13800,4080,NYSEARCA:RYE,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:IGV,,,,0.670940065,0.152397663,0.03537334,0.141288932,,,,17/4/2008
83,1100,250,NYSEARCA:RYE,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:IYM,NYSEARCA:EVX,,,0.588534469,0.241538908,0.006027705,0.056845453,0.107053465,,,30/10/2008
84,16400,1710,NYSEARCA:IEZ,NYSEARCA:PXJ,NYSEARCA:FVL,NYSEARCA:EVX,NYSEARCA:IGM,,,0.642071496,0.021400528,0.093049516,0.087596226,0.155882234,,,29/9/2008
85,3200,610,NYSEARCA:XES,NYSEARCA:JKH,NYSEARCA:VAW,NYSEARCA:IGV,,,,0.752449976,0.089675605,0.010263133,0.147611286,,,,7/11/2008
86,12500,3080,NYSEARCA:IEO,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:IGM,,,,0.355874472,0.405709785,0.064271826,0.174143917,,,,13/6/2008
87,12100,730,NYSEARCA:IEO,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:VAW,,,0.513217476,0.111737519,0.090642326,0.003000008,0.281402671,,,31/5/2008
88,14400,110,NYSEARCA:IEO,NYSEARCA:JKH,NYSEARCA:FVL,NYSEARCA:EVX,,,,0.763234693,0.076158822,0.081718773,0.078887711,,,,1/6/2009
89,11500,2240,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:XME,NYSEARCA:JKH,,,,0.531199417,0.280285258,0.019376063,0.169139262,,,,18/1/2009
90,19100,5570,NYSEARCA:XES,NYSEARCA:PXI,NYSEARCA:XME,NYSEARCA:PYZ,,,,0.309934008,0.533505605,0.077655322,0.078905065,,,,31/7/2008
91,14700,2240,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:IYM,,0.383684636,0.137219412,0.006265578,0.145630411,0.013615006,0.313584957,,13/6/2008
92,18000,5070,NYSEARCA:RYE,NYSEARCA:PXI,NYSEARCA:IYM,NYSEARCA:JKH,,,,0.696957381,0.053740697,0.157075872,0.09222605,,,,26/8/2008
93,10300,2860,NYSEARCA:IEO,NYSEARCA:VDE,NYSEARCA:VAW,,,,,0.623421878,0.079379276,0.297198846,,,,,4/11/2008
94,600,180,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:VAW,,,0.199534998,0.123658212,0.401731658,0.101461684,0.173613448,,,5/2/2008
95,4300,380,NYSEARCA:IEO,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:FVL,,,,0.64648412,0.065805419,0.03388646,0.253824002,,,,10/8/2008
96,15700,2100,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:JKH,NYSEARCA:FVL,,,0.269859832,0.434084427,0.126568058,0.114113236,0.055374446,,,14/6/2008
97,6200,940,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:IYE,NYSEARCA:EWC,NYSEARCA:FVL,,,0.469988423,0.174399518,0.0121482,0.212570579,0.13089328,,,20/1/2009
98,18000,1790,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:VAW,NYSEARCA:PYZ,,,,0.443353045,0.354474085,0.006170563,0.196002307,,,,28/5/2008
99,8500,2300,NYSEARCA:PXJ,NYSEARCA:XLE,NYSEARCA:EWC,NYSEARCA:PTH,,,,0.648954783,0.101858768,0.039355795,0.209830654,,,,25/6/2008
100,14200,3170,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:PXE,NYSEARCA:IYM,NYSEARCA:IGV,,,0.561250181,0.069216171,0.227730582,0.022798763,0.119004303,,,16/3/2009
101,5500,470,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXI,NYSEARCA:PYZ,,,,0.455381491,0.27675671,0.003515428,0.264346371,,,,12/3/2009
102,1500,240,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:EWC,NYSEARCA:JKH,,,,0.432820381,0.255965802,0.298296085,0.012917731,,,,16/7/2008
103,7300,600,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:PTH,,,,0.509676009,0.19505216,0.13064892,0.16462291,,,,11/8/2008
104,7100,1060,NYSEARCA:IEZ,NYSEARCA:PXE,NYSEARCA:JKH,NYSEARCA:FVL,NYSEARCA:EVX,,,0.375712499,0.376119911,0.099922453,0.063044048,0.085201088,,,19/12/2008
105,18000,640,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:ITA,,,,0.170062676,0.392904325,0.09452182,0.342511178,,,,3/10/2008
106,10100,640,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:EWC,NYSEARCA:FVL,,,0.402157121,0.19771527,0.087903239,0.227491238,0.084733132,,,1/3/2009
107,12700,740,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:IYM,NYSEARCA:VOT,NYSEARCA:EVX,,,0.571959275,0.177164163,0.013474151,0.00758768,0.229814732,,,15/6/2009
108,17000,4030,NYSEARCA:IEZ,NYSEARCA:XLE,NYSEARCA:PYZ,NYSEARCA:FVL,,,,0.574453177,0.033658429,0.021625905,0.370262489,,,,10/11/2008
109,13500,760,NYSEARCA:IEZ,NYSEARCA:ITA,NYSEARCA:XME,NYSEARCA:IHF,,,,0.575942576,0.284171645,0.007816057,0.132069722,,,,10/4/2008
110,19700,4410,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:EWC,NYSEARCA:IGV,,,0.561749589,0.185154072,0.031490697,0.151430448,0.070175194,,,27/4/2009
111,18900,3290,NYSEARCA:XOP,NYSEARCA:VDE,NYSEARCA:XES,NYSEARCA:FVL,NYSEARCA:EVX,,,0.488530303,0.14389244,0.183808459,0.136588072,0.047180726,,,4/12/2008
112,14800,1040,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:IYM,NYSEARCA:JKH,,,,0.464565415,0.340036925,0.109105424,0.086292236,,,,18/6/2008
113,19400,3150,NYSEARCA:XES,NYSEARCA:XLE,NYSEARCA:EWC,NYSEARCA:PPA,,,,0.534048484,0.096566099,0.257017596,0.112367821,,,,13/3/2008
114,4000,900,NYSEARCA:RYE,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:EVX,NYSEARCA:IGM,,,0.565816317,0.269766668,0.028365755,0.02709834,0.108952919,,,13/10/2008
115,15700,3910,NYSEARCA:RYE,NYSEARCA:IYE,NYSEARCA:XME,NYSEARCA:IGM,,,,0.594124693,0.253927455,0.019268847,0.132679006,,,,31/1/2008
116,3300,930,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:ITA,,,,,0.392307041,0.243381013,0.364311945,,,,,29/7/2008
117,2900,170,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXI,NYSEARCA:IYM,NYSEARCA:VAW,,,0.413023085,0.237320807,0.052806412,0.202305563,0.094544133,,,17/1/2009
118,18900,4290,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:PXI,NYSEARCA:IYM,,,0.095612522,0.383374502,0.242884619,0.003004842,0.275123515,,,29/2/2008
119,5200,470,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:EWC,,,0.370266917,0.149074712,0.045776203,0.119381715,0.315500453,,,26/5/2009
120,17300,1680,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:JKH,NYSEARCA:IGM,,,,0.54050706,0.303513686,0.089567002,0.066412252,,,,7/12/2008
121,10600,2010,NYSEARCA:XLE,NYSEARCA:XME,NYSEARCA:IYM,NYSEARCA:EVX,,,,0.645542735,0.107923202,0.171137966,0.075396097,,,,21/7/2008
122,5700,1500,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:VAW,,,,,0.591165857,0.20066133,0.208172813,,,,,2/4/2008
123,10200,710,NYSEARCA:RYE,NYSEARCA:PXJ,NYSEARCA:IYM,NYSEARCA:FVL,,,,0.622812331,0.119197647,0.064048654,0.193941368,,,,30/8/2008
124,4900,570,NYSEARCA:PXJ,NYSEARCA:XLE,NYSEARCA:IYM,,,,,0.349004508,0.145730608,0.505264885,,,,,6/9/2008
125,9400,1250,NYSEARCA:IEZ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:PXI,NYSEARCA:XLB,,,0.147811544,0.321933434,0.223433634,0.211794794,0.095026594,,,2/10/2008
126,2800,300,NYSEARCA:PXJ,NYSEARCA:XES,NYSEARCA:IHI,NYSEARCA:XME,,,,0.426484649,0.192940214,0.276868013,0.103707124,,,,12/3/2008
127,19600,2630,NYSEARCA:IYE,NYSEARCA:XES,NYSEARCA:VOT,,,,,0.714069981,0.174194281,0.111735738,,,,,1/5/2008
128,9600,2160,NYSEARCA:IYE,NYSEARCA:XME,NYSEARCA:EWC,,,,,0.714842158,0.067839475,0.217318367,,,,,22/4/2009
129,11000,840,NYSEARCA:XES,NYSEARCA:XME,NYSEARCA:IGV,,,,,0.584265307,0.174776456,0.240958237,,,,,18/6/2009
130,18000,750,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:FVL,NYSEARCA:EVX,,,,0.526663343,0.231137726,0.108055979,0.134142952,,,,3/9/2008
131,14700,2230,NYSEARCA:IEZ,NYSEARCA:XLE,NYSEARCA:PYZ,NYSEARCA:XLB,,,,0.466015293,0.088176763,0.399935894,0.04587205,,,,1/7/2008
132,2600,380,NYSEARCA:IEZ,NYSEARCA:EWC,NYSEARCA:PPA,NYSEARCA:RYH,,,,0.658530956,0.141424503,0.016138337,0.183906204,,,,23/8/2008
133,14800,1960,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXI,,,,,0.548523872,0.06762563,0.383850498,,,,,24/1/2008
134,9500,2820,NYSEARCA:XOP,NYSEARCA:PXE,NYSEARCA:PPA,NYSEARCA:RYH,,,,0.561839687,0.291021432,0.132679433,0.014459447,,,,3/7/2008
135,19000,1610,NYSEARCA:XLE,NYSEARCA:ITA,NYSEARCA:XME,,,,,0.50432855,0.279816747,0.215854703,,,,,10/2/2009
136,14100,920,NYSEARCA:IEO,NYSEARCA:IEZ,NYSEARCA:EWC,,,,,0.452488731,0.095629474,0.451881795,,,,,21/6/2008
137,12200,1410,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXE,NYSEARCA:VDE,NYSEARCA:IYM,,,0.161377917,0.079603077,0.375344822,0.103123571,0.280550612,,,7/4/2009
138,15800,4700,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXE,NYSEARCA:XES,NYSEARCA:PPA,,,0.478890845,0.011068035,0.064680739,0.234504732,0.21085565,,,27/2/2009
139,15200,3980,NYSEARCA:PXE,NYSEARCA:XLE,NYSEARCA:IYM,NYSEARCA:PTH,,,,0.793280486,0.104278148,0.030664269,0.071777096,,,,20/2/2009
140,12000,3180,NYSEARCA:RYE,NYSEARCA:IEZ,NYSEARCA:XOP,NYSEARCA:IYM,NYSEARCA:VOT,,,0.426400993,0.114031752,0.25811909,0.022894037,0.178554128,,,28/6/2008
141,14300,2390,NYSEARCA:RYE,NYSEARCA:XOP,NYSEARCA:PXJ,NYSEARCA:XME,NYSEARCA:PTH,,,0.428021423,0.274896029,0.129461897,0.004634763,0.162985888,,,24/7/2008
142,12500,2670,NYSEARCA:RYE,NYSEARCA:FVL,NYSEARCA:IGM,,,,,0.817146034,0.116763192,0.066090774,,,,,6/4/2009
143,19600,3520,NYSEARCA:XOP,NYSEARCA:IYE,NYSEARCA:PXJ,NYSEARCA:PXI,NYSEARCA:XLB,,,0.397564836,0.244336937,0.05826029,0.206370706,0.093467232,,,21/6/2009
